 Число родившихся (без мертворожденных), человек, значение показателя за год, Городские округа Кировской области, Городской округ;;;;;;;;;;;;;;
;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;
Город Киров;5556;5805;6374;6474;6768;7287;7326;6245;5939;5313;4893;4910;4385;
