 Общий коэффициент рождаемости, промилле, значение показателя за год, Городской округ, Городские округа Кировской области;;;;;;;;;;;;;;
;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;
Город Киров;11,2;11,6;12,6;12,7;13,1;14;13,9;11,8;11,1;9,8;9;9;8,8;
