 Численность городского населения по полу и возрасту на 1 января текущего года 1) , человек, Город Киров, на 1 января, Городские округа Кировской области, Городской округ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Всего;;;;;;;;;;;;Женщины;;;;;;;;;;;;Мужчины;;;;;;;;;;;;
26;9124;9506;9328;9245;9464;9149;8329;8188;6011;5514;5122;4655;4798;5004;4992;5104;5351;5208;4995;4698;3164;2872;2678;2469;4326;4502;4336;4141;4113;3941;3334;3490;2847;2642;2444;2186;
27;9236;9282;9692;9545;9380;9659;9333;8563;8439;6198;4722;5253;4789;4873;5134;5126;5215;5488;5359;5160;4852;3287;2472;2757;4447;4409;4558;4419;4165;4171;3974;3403;3587;2911;2250;2496;
28;9772;9434;9438;9952;9727;9464;9891;9577;8764;8640;4859;4826;5079;4892;4995;5301;5272;5277;5656;5522;5278;4990;2587;2537;4693;4542;4443;4651;4455;4187;4235;4055;3486;3650;2272;2289;
29;8643;9887;9557;9593;10062;9857;9708;10114;9818;8945;5614;4983;4590;5143;4979;5075;5393;5349;5430;5815;5670;5388;2938;2657;4053;4744;4578;4518;4669;4508;4278;4299;4148;3557;2676;2326;
30;8742;8798;10072;9755;9731;10225;10048;9924;10363;10029;6611;5755;4528;4683;5232;5080;5167;5503;5455;5578;5963;5795;3442;3017;4214;4115;4840;4675;4564;4722;4593;4346;4400;4234;3169;2738;
31;8145;8811;8843;10285;9858;9821;10412;10272;10169;10532;8365;6716;4206;4553;4707;5366;5151;5253;5609;5598;5694;6053;4419;3494;3939;4258;4136;4919;4707;4568;4803;4674;4475;4479;3946;3222;
32;7871;8206;8890;9009;10355;9960;9949;10613;10452;10348;8471;8496;4051;4255;4597;4796;5389;5231;5332;5724;5700;5804;4440;4496;3820;3951;4293;4213;4966;4729;4617;4889;4752;4544;4031;4000;
33;7865;7922;8285;9022;9074;10464;10109;10100;10799;10631;8278;8591;4112;4082;4296;4676;4842;5482;5328;5425;5816;5800;4332;4525;3753;3840;3989;4346;4232;4982;4781;4675;4983;4831;3946;4066;
34;7592;7904;7978;8364;9060;9135;10577;10261;10294;10970;9114;8397;3995;4132;4112;4341;4713;4894;5562;5429;5550;5930;4853;4396;3597;3772;3866;4023;4347;4241;5015;4832;4744;5040;4261;4001;
35;7539;7605;7937;8023;8425;9131;9225;10734;10425;10408;9760;9238;3962;4013;4146;4124;4375;4782;4953;5645;5533;5621;5142;4923;3577;3592;3791;3899;4050;4349;4272;5089;4892;4787;4618;4315;
36;7250;7567;7587;8031;8029;8460;9228;9358;10857;10568;9709;9873;3786;3979;3997;4218;4147;4412;4835;5019;5717;5609;4994;5220;3464;3588;3590;3813;3882;4048;4393;4339;5140;4959;4715;4653;
37;6972;7269;7578;7657;8032;7992;8502;9329;9473;10936;9039;9773;3695;3799;3990;4040;4231;4135;4450;4899;5083;5758;4813;5048;3277;3470;3588;3617;3801;3857;4052;4430;4390;5178;4226;4725;
38;6674;6992;7260;7662;7646;8025;8036;8601;9411;9550;9154;9092;3479;3692;3804;4039;4054;4239;4185;4517;4945;5123;4854;4857;3195;3300;3456;3623;3592;3786;3851;4084;4466;4427;4300;4235;
39;6547;6698;6990;7283;7643;7660;8059;8103;8668;9431;8225;9228;3441;3498;3692;3833;4067;4065;4269;4223;4560;4960;4470;4928;3106;3200;3298;3450;3576;3595;3790;3880;4108;4471;3755;4300;
40;6179;6532;6682;7004;7258;7661;7653;8102;8132;8727;8364;8240;3323;3439;3510;3718;3847;4075;4070;4305;4247;4598;4374;4489;2856;3093;3172;3286;3411;3586;3583;3797;3885;4129;3990;3751;
41;5806;6175;6528;6707;6987;7252;7651;7729;8143;8188;9147;8409;3108;3316;3437;3523;3725;3845;4089;4123;4346;4283;4739;4397;2698;2859;3091;3184;3262;3407;3562;3606;3797;3905;4408;4012;
42;5293;5758;6150;6547;6652;6989;7251;7705;7750;8178;7657;9176;2845;3080;3313;3458;3509;3742;3868;4128;4148;4382;4027;4777;2448;2678;2837;3089;3143;3247;3383;3577;3602;3796;3630;4399;
43;5037;5270;5761;6149;6524;6644;7011;7273;7713;7772;7463;7683;2680;2826;3090;3302;3467;3528;3771;3880;4140;4166;3975;4049;2357;2444;2671;2847;3057;3116;3240;3393;3573;3606;3488;3634;
44;5071;5017;5236;5746;6110;6528;6640;7039;7297;7714;6916;7487;2778;2674;2815;3092;3303;3472;3535;3795;3908;4151;3775;3994;2293;2343;2421;2654;2807;3056;3105;3244;3389;3563;3141;3493;
45;5216;5035;4996;5215;5709;6106;6548;6649;7046;7316;7294;6912;2941;2759;2666;2819;3081;3309;3483;3544;3809;3936;3840;3782;2275;2276;2330;2396;2628;2797;3065;3105;3237;3380;3454;3130;
46;5436;5212;4996;4990;5185;5698;6103;6551;6667;7044;7141;7271;2929;2937;2753;2670;2812;3085;3318;3504;3567;3826;3837;3839;2507;2275;2243;2320;2373;2613;2785;3047;3100;3218;3304;3432;
